ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
29704,type1,p3,nob/c,3.875
29705,type1,p4,nob/c,3.5
29706,type2,p3,b/c,0
29707,type2,p4,b/c,3.5
29708,type1,p4,nob/c,3.375
29709,type2,p4,b/c,3.125
29710,type1,p4,nob/c,3.625
29711,type1,p1,nob/c,4.625
29712,type1,p3,nob/c,3.99
29713,type1,p3,nob/c,3.875
29714,type1,p4,nob/c,3.625
29715,type1,p3,nob/c,3.875
29716,type1,p1,nob/c,3.99
29717,type1,p4,nob/c,4.125
29718,type1,p3,nob/c,4.75
29719,type2,p1,b/c,0
29720,type1,p3,nob/c,0
29721,type2,p3,b/c,3.5
29722,type2,p4,b/c,4.125
29723,type1,p3,nob/c,3.875
29724,type3,p3,nob/c,4.25
29725,type3,p3,nob/c,4.25
29726,type1,p3,nob/c,0
29727,type1,p3,nob/c,5.375
29728,type1,p3,nob/c,3.99
29729,type1,p1,nob/c,0
29730,type1,p4,nob/c,3.875
29731,type1,p3,nob/c,3.375
29732,type1,p3,nob/c,3.5
29733,type1,p3,nob/c,4.25
29734,type1,p1,nob/c,4.5
29735,type1,p4,nob/c,3.99
29736,type2,p4,b/c,3.99
29737,type1,p3,nob/c,0
29738,type1,p1,nob/c,4.625
29739,type1,p3,nob/c,4.99
29740,type2,p4,b/c,3.375
29741,type1,p3,nob/c,4.625
29742,type1,p1,nob/c,0
29743,type1,p4,nob/c,3.5
29744,type1,p3,nob/c,3.375
29745,type1,p3,nob/c,0
29746,type1,p3,nob/c,4.5
29747,type2,p1,b/c,2.99
29748,type1,p1,nob/c,0
29749,type1,p3,nob/c,3.5
29750,type1,p4,nob/c,0
29751,type1,p1,nob/c,4.375
29752,type1,p3,nob/c,4.625
29753,type1,p4,nob/c,4.75
29754,type3,p4,nob/c,3.49
29755,type1,p3,nob/c,3.875
29756,type3,p1,nob/c,3.5
29757,type2,p3,b/c,4.75
29758,type1,p4,nob/c,4
29759,type1,p4,nob/c,3.99
29760,type1,p3,nob/c,4.875
29761,type1,p3,nob/c,4.875
29762,type1,p3,nob/c,4.25
29763,type1,p1,nob/c,3.99
29764,type2,p1,b/c,5.125
29765,type1,p3,nob/c,4.875
29766,type1,p1,nob/c,4.125
29767,type1,p4,nob/c,0
29768,type1,p1,nob/c,0
29769,type1,p3,nob/c,3.625
29770,type2,p4,b/c,0
29771,type1,p4,nob/c,3.125
29772,type1,p3,nob/c,3.75
29773,type2,p3,b/c,3.75
29774,type1,p4,nob/c,3.99
29775,type1,p3,nob/c,3.99
29776,type1,p1,nob/c,3.75
29777,type1,p3,nob/c,3.625
29778,type1,p4,nob/c,2.75
29779,type1,p3,nob/c,4.5
29780,type1,p4,nob/c,3.5
29781,type3,p3,nob/c,3.625
29782,type2,p3,b/c,4.125
29783,type1,p1,nob/c,0
29784,type1,p1,nob/c,4.125
29785,type1,p4,nob/c,3.875
29786,type1,p1,nob/c,0
29787,type1,p4,nob/c,3.75
29788,type2,p3,b/c,0
29789,type2,p1,b/c,0
29790,type3,p3,nob/c,3.5
29791,type1,p4,nob/c,0
29792,type1,p4,nob/c,3.5
29793,type1,p4,nob/c,4.125
29794,type1,p3,nob/c,4.5
29795,type1,p4,nob/c,4
29796,type1,p3,nob/c,2.99
29797,type1,p4,nob/c,4.125
29798,type2,p4,b/c,0
29799,type1,p1,nob/c,4.375
29800,type1,p4,nob/c,0
29801,type3,p3,nob/c,3.75
29802,type1,p3,nob/c,4.99
29803,type1,p4,nob/c,4.375
29804,type1,p3,nob/c,2.75
29805,type1,p1,nob/c,3.875
29806,type1,p4,nob/c,3.625
29807,type1,p1,nob/c,3.75
29808,type2,p4,b/c,4.99
29809,type1,p1,nob/c,0
29810,type1,p4,nob/c,3.625
29811,type1,p3,nob/c,3.625
29812,type1,p3,nob/c,4.125
29813,type1,p1,nob/c,4.875
29814,type1,p1,nob/c,3.625
29815,type1,p3,nob/c,3.375
29816,type1,p4,nob/c,4.25
29817,type1,p4,nob/c,4.5
29818,type1,p4,nob/c,4.375
29819,type1,p1,nob/c,0
29820,type1,p3,nob/c,3.5
29821,type1,p1,nob/c,4.625
29822,type2,p3,b/c,4.375
29823,type1,p4,nob/c,3.875
29824,type1,p1,nob/c,3.99
29825,type3,p4,nob/c,0
29826,type1,p2,nob/c,4.75
29827,type1,p4,nob/c,3.875
29828,type2,p3,b/c,4.49
29829,type2,p3,b/c,3.99
29830,type1,p3,nob/c,0
29831,type1,p1,nob/c,4.56
29832,type1,p1,nob/c,0
29833,type1,p4,nob/c,0
29834,type1,p4,nob/c,3.25
29835,type1,p3,nob/c,5.125
29836,type2,p1,b/c,4.375
29837,type1,p3,nob/c,0
29838,type1,p3,nob/c,4.25
29839,type1,p1,nob/c,4.75
29840,type1,p1,nob/c,0
29841,type1,p4,nob/c,3.875
29842,type1,p3,nob/c,0
29843,type1,p4,nob/c,3.875
29844,type1,p3,nob/c,3.5
29845,type1,p4,nob/c,4.25
29846,type1,p4,nob/c,3.625
29847,type1,p1,nob/c,0
29848,type1,p1,nob/c,4.25
29849,type3,p1,nob/c,0
29850,type1,p4,nob/c,3.75
29851,type1,p3,nob/c,0
29852,type1,p1,nob/c,4.375
29853,type1,p1,nob/c,0
29854,type1,p4,nob/c,4.5
29855,type1,p3,nob/c,4.625
29856,type1,p1,nob/c,0
29857,type3,p4,nob/c,0
29858,type1,p3,nob/c,4.99
29859,type1,p4,nob/c,3.875
29860,type1,p3,nob/c,3.99
29861,type2,p1,b/c,0
29862,type3,p4,nob/c,3.5
29863,type1,p1,nob/c,4.99
29864,type2,p3,b/c,0
29865,type1,p4,nob/c,3.99
29866,type3,p4,nob/c,3.25
29867,type1,p2,nob/c,4.56
29868,type1,p3,nob/c,3.99
29869,type1,p3,nob/c,3.99
29870,type1,p3,nob/c,3.99
29871,type1,p3,nob/c,0
29872,type1,p1,nob/c,3.875
29873,type1,p4,nob/c,3.875
29874,type3,p4,nob/c,3.5
29875,type1,p4,nob/c,4.875
29876,type2,p1,b/c,3.875
29877,type1,p3,nob/c,0
29878,type1,p4,nob/c,3.625
29879,type1,p3,nob/c,0
29880,type3,p3,nob/c,0
29881,type1,p3,nob/c,0
29882,type1,p1,nob/c,0
29883,type1,p4,nob/c,3.99
29884,type1,p3,nob/c,3.625
29885,type1,p1,nob/c,3.75
29886,type1,p2,nob/c,3.99
29887,type1,p2,nob/c,3.99
29888,type1,p1,nob/c,3.75
29889,type1,p4,nob/c,4.375
29890,type1,p3,nob/c,4.375
29891,type1,p1,nob/c,3.125
29892,type1,p2,nob/c,0
29893,type1,p1,nob/c,3.99
29894,type1,p3,nob/c,4
29895,type1,p4,nob/c,3.5
29896,type1,p3,nob/c,4.375
29897,type1,p4,nob/c,4.5
29898,type1,p4,nob/c,3.25
29899,type1,p3,nob/c,3.75
29900,type1,p1,nob/c,0
29901,type2,p1,b/c,4.75
29902,type1,p4,nob/c,3.25
29903,type1,p4,nob/c,4.25
29904,type1,p3,nob/c,3.99
29905,type1,p3,nob/c,0
29906,type1,p1,nob/c,3.99
29907,type1,p4,nob/c,3.75
29908,type1,p1,nob/c,0
29909,type2,p3,b/c,0
29910,type1,p4,nob/c,3.99
29911,type1,p1,nob/c,4.375
29912,type3,p1,nob/c,2.75
29913,type3,p1,nob/c,3.49
29914,type1,p4,nob/c,4.5
29915,type1,p1,nob/c,3.99
29916,type1,p3,nob/c,4.375
29917,type1,p4,nob/c,3.375
29918,type1,p2,nob/c,4.375
29919,type2,p3,b/c,4.125
29920,type1,p4,nob/c,3.875
29921,type1,p4,nob/c,3.125
29922,type3,p3,nob/c,0
29923,type1,p4,nob/c,3.75
29924,type3,p3,nob/c,3.5
29925,type2,p1,b/c,4.875
29926,type1,p4,nob/c,3.625
29927,type1,p3,nob/c,0
29928,type1,p4,nob/c,0
29929,type1,p3,nob/c,3.625
29930,type1,p4,nob/c,0
29931,type1,p2,nob/c,3.99
29932,type2,p3,b/c,4.125
29933,type1,p4,nob/c,3.99
29934,type1,p3,nob/c,3.625
29935,type2,p1,b/c,3.625
29936,type1,p1,nob/c,5.375
29937,type1,p3,nob/c,4.875
29938,type1,p3,nob/c,4.375
29939,type1,p3,nob/c,3.99
29940,type1,p1,nob/c,3.99
29941,type3,p3,nob/c,4.375
29942,type1,p4,nob/c,3.99
29943,type1,p1,nob/c,4.875
29944,type1,p3,nob/c,3.25
29945,type2,p4,b/c,3.625
29946,type1,p3,nob/c,4
29947,type2,p3,b/c,0
29948,type1,p4,nob/c,2.99
29949,type1,p1,nob/c,0
29950,type1,p1,nob/c,4.25
29951,type1,p4,nob/c,0
29952,type2,p4,b/c,4.125
29953,type1,p3,nob/c,4.625
29954,type1,p4,nob/c,3.375
29955,type1,p4,nob/c,3.99
29956,type1,p3,nob/c,4.875
29957,type1,p4,nob/c,3.99
29958,type1,p4,nob/c,3.5
29959,type1,p4,nob/c,0
29960,type1,p3,nob/c,3.125
29961,type2,p1,b/c,4.5
29962,type1,p4,nob/c,4
29963,type1,p4,nob/c,4.375
29964,type1,p2,nob/c,5.5
29965,type2,p1,b/c,3.5
29966,type1,p4,nob/c,0
29967,type1,p1,nob/c,0
29968,type3,p1,nob/c,4.25
29969,type2,p3,b/c,4.5
29970,type1,p4,nob/c,3.875
29971,type1,p3,nob/c,4.5
29972,type1,p3,nob/c,0
29973,type1,p4,nob/c,0
29974,type1,p4,nob/c,4.125
29975,type1,p4,nob/c,4.375
29976,type1,p4,nob/c,3.75
29977,type1,p4,nob/c,3.875
29978,type1,p3,nob/c,4.875
29979,type1,p3,nob/c,0
29980,type1,p1,nob/c,3.75
29981,type1,p4,nob/c,4.375
29982,type1,p4,nob/c,3.75
29983,type1,p3,nob/c,4.75
29984,type1,p4,nob/c,3.625
29985,type3,p3,nob/c,4.125
29986,type1,p1,nob/c,0
29987,type1,p4,nob/c,3.75
29988,type1,p3,nob/c,4.125
29989,type1,p4,nob/c,3.99
29990,type1,p4,nob/c,3.375
29991,type1,p3,nob/c,4.5
29992,type1,p3,nob/c,4.625
29993,type1,p3,nob/c,0
29994,type1,p1,nob/c,4.375
29995,type1,p1,nob/c,4.99
29996,type1,p4,nob/c,3.875
29997,type1,p1,nob/c,4.5
29998,type2,p1,b/c,3.375
29999,type2,p1,b/c,4.375
30000,type1,p4,nob/c,3.375
30001,type1,p3,nob/c,4.75
30002,type2,p3,b/c,4.125
30003,type1,p3,nob/c,4.25
30004,type1,p1,nob/c,0
30005,type1,p4,nob/c,3.125
30006,type1,p4,nob/c,4.25
30007,type2,p4,b/c,4.125
30008,type1,p4,nob/c,3.625
30009,type1,p4,nob/c,3.99
30010,type1,p3,nob/c,2.99
30011,type1,p3,nob/c,4.625
30012,type1,p4,nob/c,0
30013,type2,p3,b/c,4.99
30014,type1,p3,nob/c,3.5
30015,type1,p4,nob/c,3.25
30016,type2,p1,b/c,0
30017,type1,p4,nob/c,3.99
30018,type2,p3,b/c,3.375
30019,type3,p4,nob/c,3.875
30020,type1,p4,nob/c,4.25
30021,type1,p4,nob/c,0
30022,type1,p4,nob/c,4.5
30023,type1,p3,nob/c,3.675
30024,type1,p1,nob/c,0
30025,type1,p4,nob/c,3.75
30026,type1,p3,nob/c,4.125
30027,type1,p3,nob/c,4.125
30028,type2,p4,b/c,0
30029,type1,p3,nob/c,3.99
30030,type3,p3,nob/c,0
30031,type3,p4,nob/c,3.75
30032,type1,p4,nob/c,3.5
30033,type2,p1,b/c,3.99
30034,type1,p4,nob/c,0
30035,type1,p1,nob/c,0
30036,type3,p3,nob/c,4.5
30037,type1,p4,nob/c,3.75
30038,type2,p1,b/c,4.125
30039,type1,p3,nob/c,4.625
30040,type1,p2,nob/c,0
30041,type1,p1,nob/c,3.99
30042,type1,p3,nob/c,3.99
30043,type1,p3,nob/c,0
30044,type1,p4,nob/c,4.25
30045,type1,p3,nob/c,3.75
30046,type1,p1,nob/c,0
30047,type1,p3,nob/c,4.99
30048,type2,p3,b/c,3.625
30049,type1,p4,nob/c,3.375
30050,type1,p4,nob/c,4.125
30051,type1,p4,nob/c,3.75
30052,type1,p3,nob/c,4.125
30053,type1,p3,nob/c,4.375
30054,type2,p1,b/c,3.875
30055,type1,p4,nob/c,2.99
30056,type1,p3,nob/c,4.75
30057,type1,p4,nob/c,3.875
30058,type1,p3,nob/c,4.5
30059,type2,p4,b/c,3.49
30060,type2,p2,b/c,4.125
30061,type1,p3,nob/c,5.375
30062,type1,p4,nob/c,3.875
30063,type1,p4,nob/c,3.625
30064,type1,p1,nob/c,4.56
30065,type1,p4,nob/c,3.875
30066,type1,p2,nob/c,5.5
30067,type1,p1,nob/c,3.99
30068,type1,p1,nob/c,4.625
30069,type1,p3,nob/c,0
30070,type1,p3,nob/c,3.75
30071,type1,p2,nob/c,0
30072,type1,p3,nob/c,4.99
30073,type2,p1,b/c,3.99
30074,type2,p1,b/c,3.5
30075,type1,p4,nob/c,0
30076,type1,p3,nob/c,3.99
30077,type1,p3,nob/c,4.375
30078,type1,p3,nob/c,4.125
30079,type1,p4,nob/c,0
30080,type1,p4,nob/c,4.375
30081,type3,p4,nob/c,3.375
30082,type2,p3,b/c,5.25
30083,type2,p3,b/c,3.99
30084,type1,p1,nob/c,4.25
30085,type1,p3,nob/c,4.625
30086,type1,p3,nob/c,4.56
30087,type1,p3,nob/c,4.625
30088,type1,p2,nob/c,4.375
30089,type1,p2,nob/c,4.99
30090,type1,p3,nob/c,3.75
30091,type2,p1,b/c,0
30092,type1,p1,nob/c,3.875
30093,type1,p4,nob/c,4
30094,type1,p1,nob/c,4
30095,type1,p1,nob/c,0
30096,type1,p3,nob/c,3.875
30097,type1,p1,nob/c,0
30098,type1,p4,nob/c,0
30099,type1,p3,nob/c,0
30100,type1,p1,nob/c,4.375
30101,type1,p4,nob/c,3.625
30102,type3,p4,nob/c,0
30103,type1,p3,nob/c,3.875
30104,type1,p1,nob/c,4.75
30105,type3,p1,nob/c,0
30106,type1,p1,nob/c,4.75
30107,type1,p3,nob/c,4.875
30108,type1,p4,nob/c,3.875
30109,type1,p3,nob/c,4.75
30110,type2,p3,b/c,4.49
30111,type1,p3,nob/c,4.375
30112,type1,p4,nob/c,4.375
30113,type1,p4,nob/c,3.875
30114,type1,p3,nob/c,3.99
30115,type1,p4,nob/c,0
30116,type1,p4,nob/c,3.75
30117,type1,p3,nob/c,0
30118,type1,p4,nob/c,0
30119,type1,p2,nob/c,5.625
30120,type1,p3,nob/c,0
30121,type3,p4,nob/c,0
30122,type1,p1,nob/c,3.99
30123,type1,p1,nob/c,4.75
30124,type3,p1,nob/c,3.625
30125,type2,p4,b/c,0
30126,type1,p3,nob/c,0
30127,type1,p3,nob/c,4.5
30128,type1,p3,nob/c,4.25
30129,type1,p3,nob/c,0
30130,type1,p4,nob/c,3.99
30131,type1,p3,nob/c,3.75
30132,type3,p3,nob/c,3.75
30133,type1,p3,nob/c,3.5
30134,type1,p3,nob/c,4.875
30135,type2,p4,b/c,3.5
30136,type1,p4,nob/c,3.75
30137,type1,p1,nob/c,3.69
30138,type1,p1,nob/c,4.75
30139,type1,p3,nob/c,3.75
30140,type1,p4,nob/c,4.125
30141,type2,p3,b/c,3.75
30142,type3,p4,nob/c,0
30143,type1,p3,nob/c,3.99
30144,type1,p3,nob/c,3.875
30145,type3,p3,nob/c,0
30146,type1,p4,nob/c,3.625
30147,type1,p1,nob/c,0
30148,type1,p3,nob/c,3.75
30149,type2,p3,b/c,0
30150,type3,p3,nob/c,3.5
30151,type1,p3,nob/c,4.99
30152,type1,p4,nob/c,3.75
30153,type2,p4,b/c,3.625
30154,type2,p1,b/c,3.625
30155,type3,p3,nob/c,3.25
30156,type1,p1,nob/c,4
30157,type1,p4,nob/c,3.99
30158,type2,p3,b/c,0
30159,type1,p4,nob/c,4.25
30160,type2,p2,b/c,3.25
30161,type1,p2,nob/c,4.25
30162,type3,p3,nob/c,3.375
30163,type1,p3,nob/c,4.375
30164,type1,p4,nob/c,4.75
30165,type1,p1,nob/c,4.625
30166,type1,p1,nob/c,4.75
30167,type1,p1,nob/c,0
30168,type2,p3,b/c,5.25
30169,type1,p1,nob/c,3.99
30170,type2,p3,b/c,0
30171,type1,p4,nob/c,3.75
30172,type1,p3,nob/c,0
30173,type2,p4,b/c,3.625
30174,type1,p3,nob/c,4.99
30175,type1,p4,nob/c,3.99
30176,type2,p3,b/c,4.99
30177,type1,p4,nob/c,0
30178,type1,p3,nob/c,4.56
30179,type1,p3,nob/c,0
30180,type1,p4,nob/c,3.875
30181,type3,p1,nob/c,3.375
30182,type3,p4,nob/c,2.75
30183,type1,p4,nob/c,3.625
30184,type1,p3,nob/c,0
30185,type1,p3,nob/c,0
30186,type1,p1,nob/c,3.875
30187,type1,p3,nob/c,3.875
30188,type1,p1,nob/c,0
30189,type1,p1,nob/c,5.375
30190,type1,p4,nob/c,4.125
30191,type3,p3,nob/c,3.75
30192,type2,p3,b/c,0
30193,type1,p1,nob/c,3.625
30194,type1,p3,nob/c,3.75
30195,type1,p1,nob/c,4.75
30196,type1,p3,nob/c,5.125
30197,type1,p4,nob/c,3.5
30198,type2,p1,b/c,3.25
30199,type1,p3,nob/c,3.875
30200,type1,p3,nob/c,0
30201,type2,p4,b/c,3.375
30202,type1,p3,nob/c,0
30203,type1,p3,nob/c,4.99
30204,type1,p3,nob/c,4.99
30205,type1,p3,nob/c,4.5
30206,type1,p4,nob/c,4.125
30207,type1,p1,nob/c,4.5
30208,type1,p3,nob/c,5.25
30209,type3,p3,nob/c,3.99
30210,type1,p1,nob/c,3.875
30211,type2,p3,b/c,3.875
30212,type1,p4,nob/c,0
30213,type1,p4,nob/c,3.99
30214,type1,p4,nob/c,3.75
30215,type1,p4,nob/c,0
30216,type2,p3,b/c,3.5
30217,type1,p2,nob/c,0
30218,type1,p4,nob/c,3.375
30219,type2,p3,b/c,4.25
30220,type1,p1,nob/c,3.99
30221,type2,p3,b/c,0
30222,type2,p1,b/c,4.75
30223,type1,p3,nob/c,4.75
30224,type1,p3,nob/c,3.625
30225,type2,p4,b/c,0
30226,type1,p3,nob/c,3.75
30227,type1,p3,nob/c,5.125
30228,type1,p4,nob/c,4.56
30229,type3,p3,nob/c,3.875
30230,type1,p3,nob/c,3.875
30231,type1,p4,nob/c,0
30232,type1,p3,nob/c,3.5
30233,type1,p3,nob/c,4.375
30234,type3,p1,nob/c,4.75
30235,type1,p1,nob/c,0
30236,type1,p3,nob/c,4.125
30237,type1,p3,nob/c,4.5
30238,type2,p3,b/c,4.25
30239,type1,p1,nob/c,3.875
30240,type1,p3,nob/c,3.75
30241,type3,p4,nob/c,2.875
30242,type1,p3,nob/c,3.99
30243,type3,p3,nob/c,4.99
30244,type1,p3,nob/c,4.5
30245,type1,p3,nob/c,0
30246,type1,p3,nob/c,5.25
30247,type1,p3,nob/c,3.99
30248,type1,p1,nob/c,4.375
30249,type1,p4,nob/c,4.25
30250,type1,p3,nob/c,3.75
30251,type1,p1,nob/c,4.56
30252,type1,p3,nob/c,3.25
30253,type2,p3,b/c,3.99
30254,type1,p3,nob/c,3.625
30255,type1,p3,nob/c,3.5
30256,type1,p1,nob/c,4.25
30257,type1,p2,nob/c,0
30258,type1,p4,nob/c,0
30259,type1,p4,nob/c,3.625
30260,type1,p3,nob/c,4.5
30261,type3,p3,nob/c,3.25
30262,type1,p1,nob/c,3.875
30263,type2,p3,b/c,3.99
30264,type2,p1,b/c,4.375
30265,type1,p1,nob/c,3.25
30266,type1,p3,nob/c,3.25
30267,type3,p1,nob/c,0
30268,type2,p4,b/c,0
30269,type1,p3,nob/c,4.875
30270,type1,p4,nob/c,3.5
30271,type3,p3,nob/c,3.5
30272,type1,p3,nob/c,3.99
30273,type1,p4,nob/c,3.5
30274,type2,p1,b/c,3.875
30275,type2,p1,b/c,3
30276,type1,p3,nob/c,4.99
30277,type2,p4,b/c,0
30278,type3,p4,nob/c,2.99
30279,type1,p3,nob/c,4.5
30280,type1,p4,nob/c,0
30281,type1,p3,nob/c,3.99
30282,type1,p4,nob/c,5
30283,type1,p3,nob/c,4.375
30284,type1,p1,nob/c,4.375
30285,type1,p3,nob/c,3.99
30286,type1,p4,nob/c,0
30287,type1,p1,nob/c,0
30288,type1,p1,nob/c,4.25
30289,type1,p1,nob/c,2.975
30290,type1,p4,nob/c,0
30291,type1,p4,nob/c,3.5
30292,type1,p4,nob/c,4.75
30293,type1,p4,nob/c,3.875
30294,type2,p4,b/c,0
30295,type3,p4,nob/c,3.125
30296,type1,p3,nob/c,3.99
30297,type1,p4,nob/c,3.99
30298,type1,p1,nob/c,3.625
30299,type1,p3,nob/c,0
30300,type3,p4,nob/c,2.99
30301,type1,p4,nob/c,4.375
30302,type1,p3,nob/c,0
30303,type1,p4,nob/c,4.625
30304,type2,p1,b/c,3.375
30305,type1,p1,nob/c,4.75
30306,type1,p3,nob/c,5.125
30307,type1,p3,nob/c,4.75
30308,type1,p1,nob/c,3.625
30309,type1,p1,nob/c,0
30310,type1,p4,nob/c,3.625
30311,type1,p3,nob/c,4.5
30312,type3,p3,nob/c,3.875
30313,type1,p1,nob/c,3.75
30314,type1,p4,nob/c,3.75
30315,type1,p4,nob/c,3.375
30316,type1,p4,nob/c,4.25
30317,type1,p4,nob/c,3.875
30318,type1,p1,nob/c,4.25
30319,type1,p3,nob/c,4.875
30320,type1,p4,nob/c,4.75
30321,type1,p4,nob/c,0
30322,type1,p2,nob/c,0
30323,type2,p3,b/c,3.375
30324,type1,p3,nob/c,4.75
30325,type1,p4,nob/c,3.875
30326,type1,p3,nob/c,3.99
30327,type1,p1,nob/c,4.75
30328,type2,p4,b/c,3.99
30329,type1,p1,nob/c,0
30330,type3,p3,nob/c,3.5
30331,type3,p4,nob/c,3.125
30332,type3,p3,nob/c,3.75
30333,type3,p4,nob/c,2.99
30334,type2,p4,b/c,0
30335,type1,p3,nob/c,4
30336,type1,p1,nob/c,4.5
30337,type1,p4,nob/c,3.5
30338,type1,p1,nob/c,4.18
30339,type1,p3,nob/c,4.375
30340,type1,p3,nob/c,4.375
30341,type3,p4,nob/c,3.99
30342,type2,p1,b/c,3.99
30343,type1,p4,nob/c,0
30344,type1,p4,nob/c,0
30345,type1,p3,nob/c,3.99
30346,type1,p3,nob/c,5.25
30347,type2,p4,b/c,0
30348,type1,p4,nob/c,4.125
30349,type1,p3,nob/c,3.5
30350,type1,p3,nob/c,3.625
30351,type1,p4,nob/c,0
30352,type1,p4,nob/c,0
30353,type1,p4,nob/c,4.56
30354,type1,p1,nob/c,4.375
30355,type1,p3,nob/c,4
30356,type1,p3,nob/c,0
30357,type2,p3,b/c,0
30358,type1,p4,nob/c,0
30359,type1,p4,nob/c,3.625
30360,type1,p4,nob/c,3.625
30361,type1,p3,nob/c,3.75
30362,type1,p4,nob/c,4.5
30363,type2,p3,b/c,0
30364,type1,p4,nob/c,0
30365,type1,p4,nob/c,0
30366,type1,p2,nob/c,3.625
30367,type1,p3,nob/c,4.56
30368,type1,p1,nob/c,4.25
30369,type1,p1,nob/c,4.125
30370,type1,p4,nob/c,3.875
30371,type1,p4,nob/c,0
30372,type1,p4,nob/c,4.125
30373,type2,p4,b/c,0
30374,type1,p1,nob/c,3.75
30375,type1,p3,nob/c,5.25
30376,type1,p3,nob/c,4.125
30377,type1,p3,nob/c,4.625
30378,type1,p1,nob/c,4.625
30379,type1,p1,nob/c,3.875
30380,type1,p1,nob/c,0
30381,type1,p4,nob/c,4.125
30382,type1,p1,nob/c,5.375
30383,type2,p1,b/c,0
30384,type1,p4,nob/c,3.99
30385,type1,p3,nob/c,4.75
30386,type2,p3,b/c,0
30387,type1,p4,nob/c,0
30388,type1,p1,nob/c,3.75
30389,type1,p1,nob/c,4.875
30390,type1,p3,nob/c,3.99
30391,type2,p3,b/c,3.99
30392,type1,p4,nob/c,4.375
30393,type1,p3,nob/c,3.5
30394,type3,p3,nob/c,3.99
30395,type2,p3,b/c,3.625
30396,type1,p3,nob/c,4.25
30397,type3,p3,nob/c,0
30398,type1,p1,nob/c,3.75
30399,type1,p3,nob/c,4.99
30400,type1,p4,nob/c,3.99
30401,type1,p3,nob/c,4.375
30402,type3,p3,nob/c,0
30403,type1,p4,nob/c,3.625
30404,type1,p4,nob/c,3.25
30405,type2,p1,b/c,3.99
30406,type1,p3,nob/c,5.125
30407,type1,p3,nob/c,5.5
30408,type1,p1,nob/c,3.625
30409,type1,p4,nob/c,3.99
30410,type2,p1,b/c,4.125
30411,type2,p4,b/c,3.875
30412,type1,p3,nob/c,3.875
30413,type1,p3,nob/c,0
30414,type1,p4,nob/c,4.125
30415,type1,p1,nob/c,4.125
30416,type1,p3,nob/c,4.25
30417,type2,p3,b/c,0
30418,type1,p1,nob/c,3.875
30419,type1,p3,nob/c,0
30420,type1,p3,nob/c,0
30421,type1,p4,nob/c,0
30422,type3,p4,nob/c,3.75
30423,type1,p3,nob/c,0
30424,type2,p1,b/c,3.5
30425,type1,p3,nob/c,4.5
30426,type1,p4,nob/c,3.5
30427,type1,p4,nob/c,0
30428,type1,p3,nob/c,3.75
30429,type1,p1,nob/c,3.99
30430,type1,p2,nob/c,4.125
30431,type1,p3,nob/c,4.25
30432,type1,p4,nob/c,3.99
30433,type3,p3,nob/c,3.625
30434,type1,p3,nob/c,4.375
30435,type1,p4,nob/c,3.99
30436,type1,p4,nob/c,3.375
30437,type1,p4,nob/c,0
30438,type1,p3,nob/c,0
30439,type1,p4,nob/c,3.99
30440,type1,p4,nob/c,3
30441,type1,p4,nob/c,3.625
30442,type1,p4,nob/c,4.375
30443,type1,p3,nob/c,0
30444,type2,p4,b/c,3.5
30445,type1,p4,nob/c,3.625
30446,type1,p3,nob/c,4.625
30447,type2,p3,b/c,4.5
30448,type1,p3,nob/c,4.625
30449,type1,p1,nob/c,5.25
30450,type1,p4,nob/c,0
30451,type3,p1,nob/c,3.625
30452,type2,p3,b/c,0
30453,type1,p4,nob/c,3.625
30454,type1,p3,nob/c,4.75
30455,type1,p1,nob/c,4.5
30456,type1,p3,nob/c,4
30457,type1,p1,nob/c,4.99
30458,type2,p3,b/c,3.25
30459,type3,p3,nob/c,3.99
30460,type1,p4,nob/c,3.75
30461,type1,p4,nob/c,0
30462,type2,p1,b/c,3.25
30463,type1,p4,nob/c,3.5
30464,type2,p3,b/c,3.5
30465,type1,p3,nob/c,4.25
30466,type1,p3,nob/c,3.99
30467,type2,p1,b/c,3.99
30468,type1,p4,nob/c,3.5
30469,type1,p4,nob/c,3.75
30470,type1,p1,nob/c,0
30471,type1,p4,nob/c,3.625
30472,type1,p3,nob/c,4.375
30473,type1,p3,nob/c,3.875
30474,type1,p3,nob/c,4.625
30475,type1,p3,nob/c,3.99
30476,type2,p3,b/c,0
30477,type1,p4,nob/c,3.5
30478,type1,p1,nob/c,5
30479,type1,p3,nob/c,3.875
30480,type1,p3,nob/c,3.75
30481,type1,p3,nob/c,4.75
30482,type1,p1,nob/c,3.625
30483,type1,p3,nob/c,0
30484,type1,p4,nob/c,4.25
30485,type1,p4,nob/c,3.875
30486,type1,p3,nob/c,3.5
30487,type2,p3,b/c,4.125
30488,type1,p1,nob/c,4.875
30489,type1,p3,nob/c,4.125
30490,type1,p3,nob/c,0
30491,type1,p4,nob/c,0
30492,type2,p3,b/c,4.99
30493,type1,p4,nob/c,4.125
30494,type1,p1,nob/c,0
30495,type1,p4,nob/c,2.875
30496,type3,p3,nob/c,3.5
30497,type2,p2,b/c,0
30498,type1,p1,nob/c,3.5
30499,type2,p4,b/c,3.75
30500,type1,p1,nob/c,4.5
30501,type2,p3,b/c,4.125
30502,type1,p1,nob/c,3.625
30503,type3,p4,nob/c,3.125
30504,type1,p3,nob/c,0
30505,type1,p3,nob/c,4.75
30506,type1,p1,nob/c,0
